Time_UNIT_sec,INS.Accel.A_x_UNIT_m/s2,INS.Accel.A_y_UNIT_m/s2,INS.Accel.A_z_UNIT_m/s2,INS.Gyro.p_UNIT_deg/s,INS.Gyro.q_UNIT_deg/s,INS.Gyro.r_UNIT_deg/s,INS.Euler.Roll_UNIT_deg,INS.Euler.Pitch_UNIT_deg,INS.Euler.Yaw_UNIT_deg,INS.GPS.P_n_UNIT_m_FRAME_O,INS.GPS.P_e_UNIT_m_FRAME_O,INS.GPS.P_d_UNIT_m_FRAME_O,INS.GPS.V_n_UNIT_m/s_FRAME_O,INS.GPS.V_e_UNIT_m/s_FRAME_O,INS.GPS.V_d_UNIT_m/s_FRAME_O,Airdata.Vair_UNIT_m/s,Airdata.AoA_UNIT_deg,Airdata.AoS_UNIT_deg
695.67,-1.4297351,1.1940862,-15.347911,-34.572208,16.101084,-6.3255991,-21.482036,6.4391087,61.782108,137.07426,7.4044751,-33.496212,11.165831,20.60356,-3.1753979,24.922237,-1.2456293,-0.75544594
695.68,-1.4716297,1.4194374,-15.215019,-31.687555,15.107273,-6.8947646,-21.817861,6.5820469,61.667172,137.18198,7.6163133,-33.572194,11.194576,20.553691,-3.2179286,24.8988,-1.2145492,-0.75986242
695.69,-1.304859,1.772152,-15.415817,-30.246462,12.564734,-7.6726573,-22.12285,6.6915194,61.542022,137.28898,7.8280553,-33.662852,11.212693,20.503752,-3.2675262,24.871432,-1.2182761,-0.71569601
695.7,-1.2510386,1.8243813,-15.358868,-29.788988,9.7287452,-7.6064551,-22.431511,6.7507242,61.417816,137.39473,8.0395957,-33.749216,11.23361,20.461677,-3.3158593,24.851755,-1.2616876,-0.64999258
695.71,-1.2200344,1.4925111,-14.869435,-28.214786,7.2767211,-6.8895642,-22.756534,6.7923564,61.311705,137.50052,8.2499457,-33.810405,11.257458,20.416631,-3.3710755,24.830859,-1.3468551,-0.59561097
695.72,-1.299783,1.2408858,-14.143395,-25.030799,5.3428649,-6.3368529,-23.053758,6.836536,61.241904,137.60828,8.4578304,-33.866139,11.284117,20.36592,-3.4077251,24.802827,-1.4123195,-0.6068367
695.73,-1.2214675,1.0695696,-13.328631,-21.726596,3.82619,-6.3185673,-23.276902,6.8515596,61.168641,137.71611,8.6660841,-33.953704,11.309364,20.31965,-3.4332967,24.778228,-1.4745818,-0.6073578
695.74,-1.1161631,0.93774948,-12.858807,-19.325956,3.2746941,-6.627412,-23.470176,6.8432814,61.09086,137.82434,8.8742549,-34.016612,11.33031,20.277727,-3.4571805,24.755383,-1.5464207,-0.58353931
695.75,-1.0651042,0.6649703,-12.737854,-17.759541,4.1933443,-6.4262543,-23.678476,6.8400057,61.019124,137.93332,9.0815681,-34.003804,11.356279,20.238232,-3.4778345,24.73547,-1.6113936,-0.57642243
695.76,-1.1470241,0.45045539,-12.87182,-15.53184,5.3339588,-6.2218542,-23.863595,6.8605736,60.944804,138.04348,9.2872657,-34.028691,11.385224,20.191705,-3.4925093,24.709637,-1.6493506,-0.59739014
695.77,-1.1374164,0.47646837,-13.017888,-12.439732,5.9154622,-6.4085049,-24.013715,6.9059533,60.86022,138.15558,9.4925939,-34.079661,11.418712,20.145112,-3.5112152,24.687922,-1.67219,-0.62657687
695.78,-0.98460586,0.60061548,-13.124527,-9.0153881,5.9140605,-6.4648136,-24.126464,6.9284661,60.774967,138.26991,9.6975446,-34.140483,11.446212,20.095639,-3.5367679,24.66167,-1.7278247,-0.63140761
695.79,-0.94838019,0.49316933,-13.006964,-4.9861631,5.8558926,-6.0514456,-24.219002,6.9460034,60.68811,138.38433,9.9017423,-34.203345,11.47526,20.055093,-3.5586212,24.642526,-1.7743275,-0.63141741
695.8,-0.96194694,0.23895096,-12.694241,-0.49758973,6.5297811,-5.4045852,-24.262214,6.9784977,60.61203,138.4991,10.10556,-34.251132,11.507231,20.012173,-3.5794354,24.622961,-1.8130009,-0.65825383
695.81,-1.1901468,0.22257339,-12.474171,3.9055421,7.4793136,-5.301448,-24.243436,7.0241348,60.542758,138.61481,10.308179,-34.344893,11.542338,19.962617,-3.592762,24.598718,-1.8345517,-0.72112054
695.82,-1.2568255,0.4480156,-12.301755,7.2542679,8.2832107,-5.9938183,-24.185745,7.0763208,60.464411,138.73132,10.510343,-34.48907,11.572094,19.915893,-3.6029677,24.574916,-1.8341737,-0.77197619
695.83,-1.2514879,0.63661797,-12.332433,10.051421,8.7513329,-6.7075682,-24.11071,7.1294853,60.36382,138.84784,10.713266,-34.615517,11.593403,19.869868,-3.6183489,24.549227,-1.8274549,-0.7810976
695.84,-1.1750797,0.45559822,-12.647568,12.86481,8.6720332,-6.9698984,-24.020923,7.1810611,60.255115,138.9638,10.916665,-34.696778,11.617723,19.829086,-3.6345073,24.529541,-1.8174755,-0.78045896
695.85,-1.1580549,0.20129652,-13.096164,15.436723,7.3817379,-6.9873152,-23.883935,7.2343616,60.158847,139.08122,11.120183,-34.769884,11.647108,19.779737,-3.6503599,24.506733,-1.8195417,-0.81273824
695.86,-1.0924437,0.033834587,-13.543089,16.734578,5.4669528,-7.2552661,-23.718185,7.2782777,60.068287,139.20079,11.322424,-34.871911,11.685237,19.729165,-3.6718557,24.488737,-1.852003,-0.86361683
695.87,-1.0037976,0.014778627,-13.908713,16.611344,4.0028205,-7.7206222,-23.549643,7.2770156,59.984516,139.32015,11.524128,-34.917262,11.715043,19.676826,-3.7003817,24.464577,-1.9394031,-0.8811555
695.88,-1.041496,0.056802368,-13.92172,16.012855,3.5095834,-8.4202734,-23.407642,7.2640454,59.896309,139.4392,11.725742,-34.87676,11.752011,19.630491,-3.7280044,24.448025,-2.0338327,-0.89617098
695.89,-1.0210957,0.047542793,-13.609897,15.623588,4.0270399,-9.3297822,-23.263976,7.2706406,59.807328,139.55908,11.925782,-34.917798,11.788409,19.577395,-3.7582592,24.426064,-2.1216742,-0.92489952
695.9,-1.084214,0.10550934,-13.009853,14.871601,4.8131605,-10.20302,-23.118547,7.2752836,59.697185,139.67843,12.12609,-35.014557,11.819038,19.526738,-3.7807296,24.403572,-2.1799993,-0.9270287
695.91,-1.075644,0.16575394,-12.469663,13.384691,5.6955168,-11.164502,-22.977843,7.2722883,59.571886,139.79682,12.326882,-35.065401,11.846688,19.482387,-3.7981491,24.384243,-2.2208356,-0.90212744
695.92,-1.0734351,0.2416319,-12.298265,12.195678,6.9185019,-12.029741,-22.879086,7.2842802,59.445766,139.91526,12.526912,-35.066885,11.873888,19.439516,-3.8061654,24.363552,-2.226737,-0.88581131
695.93,-1.0100025,0.33779193,-12.511852,11.839348,7.9683612,-13.049107,-22.794328,7.3102275,59.302916,140.03492,12.72561,-35.095245,11.900412,19.392548,-3.8208259,24.339967,-2.2308608,-0.85644873
695.94,-1.0013221,0.39141722,-12.865638,12.199015,8.1284001,-14.437778,-22.68868,7.3411593,59.13747,140.1552,12.922791,-35.199989,11.924549,19.347604,-3.8387495,24.317568,-2.2267964,-0.80278062
695.95,-0.93410308,0.34176543,-12.814089,12.357222,7.0973994,-15.66412,-22.578098,7.3586046,58.964009,140.27584,13.119222,-35.300436,11.952829,19.305773,-3.8635894,24.301071,-2.2476264,-0.73625849
695.96,-1.011418,0.25882247,-12.459084,12.426413,5.7387911,-16.218162,-22.483145,7.3567366,58.785568,140.39614,13.315487,-35.363742,11.980216,19.256397,-3.8842128,24.276791,-2.2811815,-0.66664048
695.97,-1.0043818,0.16954504,-11.97683,12.941243,4.7895389,-16.26677,-22.38999,7.3293336,58.612182,140.51553,13.511878,-35.398988,12.006429,19.214182,-3.8950738,24.256052,-2.3127732,-0.5893102
695.98,-0.84622194,0.2518356,-11.519262,13.637046,4.2898864,-16.182632,-22.272128,7.3108124,58.447152,140.63594,13.708011,-35.464483,12.026843,19.169717,-3.9020078,24.231434,-2.3293497,-0.52044303
695.99,-0.75707659,0.2855237,-11.273811,13.949309,4.2781516,-16.128492,-22.145,7.2933214,58.282999,140.757,13.90247,-35.548386,12.054673,19.131209,-3.9103406,24.215225,-2.3494749,-0.46239959
696,-0.67740501,0.24797688,-11.135735,14.113972,4.3679309,-15.817663,-22.030287,7.2666551,58.113283,140.87737,14.096682,-35.616197,12.074507,19.095637,-3.9142429,24.196092,-2.3598134,-0.37984119
696.01,-0.80845623,0.32755485,-11.108459,14.594415,4.5100663,-15.029755,-21.919316,7.2455133,57.944778,140.99661,14.291138,-35.671001,12.097249,19.057604,-3.9169867,24.176583,-2.3659459,-0.30749737
696.02,-0.77493288,0.44225364,-11.272309,15.684956,4.6226842,-14.041051,-21.783253,7.240488,57.794636,141.1151,14.484733,-35.715309,12.120589,19.01776,-3.9206812,24.155298,-2.3680177,-0.26071948
696.03,-0.5921056,0.68697903,-11.374957,16.753526,4.676254,-13.472018,-21.638249,7.235128,57.654748,141.23285,14.677701,-35.769682,12.138261,18.978382,-3.9289612,24.13174,-2.3808684,-0.2076567
696.04,-0.43254763,0.7759414,-11.180656,16.500254,5.0919211,-13.549653,-21.480328,7.2260004,57.514684,141.35003,14.870801,-35.814409,12.157383,18.945562,-3.9403734,24.115279,-2.3991555,-0.14499321
696.05,-0.45980723,0.69549519,-10.783598,15.661387,5.9445766,-13.93598,-21.323526,7.2217931,57.366671,141.46701,15.064373,-35.819829,12.176917,18.916215,-3.9500606,24.102078,-2.4031545,-0.073282087
696.06,-0.55775228,0.59014668,-10.391172,14.325874,6.8287448,-14.679456,-21.207409,7.2359785,57.20928,141.58479,15.257309,-35.860676,12.196007,18.883444,-3.9471743,24.084002,-2.3624956,-0.012948828
696.07,-0.6228474,0.52896344,-10.225066,12.38733,7.3080166,-15.453875,-21.087705,7.2534924,57.044308,141.70405,15.4493,-35.948921,12.209723,18.847427,-3.9430824,24.060266,-2.3141552,0.056854753
696.08,-0.66725256,0.46165829,-10.239234,10.248118,7.099299,-16.07544,-20.984558,7.2629095,56.861622,141.82585,15.640933,-36.024776,12.227148,18.817469,-3.9410478,24.043701,-2.2691133,0.14813395
696.09,-0.57278505,0.31293741,-10.281322,8.3948096,6.5144763,-16.35104,-20.924044,7.271098,56.681164,141.94839,15.832278,-36.104526,12.24479,18.785156,-3.9414743,24.02622,-2.2336826,0.2377412
696.1,-0.65361028,0.26184698,-10.236496,7.7672111,5.7705084,-16.419331,-20.888621,7.2703448,56.506129,142.07098,16.023224,-36.184316,12.262195,18.746947,-3.9358292,24.002862,-2.1997896,0.31505151
696.11,-0.47399822,0.30347222,-10.153101,8.6090485,5.1810327,-16.606527,-20.82812,7.2617988,56.334931,142.1934,16.214009,-36.275481,12.283955,18.714708,-3.9336269,23.988161,-2.179544,0.39203292
696.12,-0.2366238,0.567509,-9.9106166,8.5903485,5.0275419,-16.422556,-20.755032,7.2445291,56.157778,142.31536,16.405147,-36.354983,12.297959,18.680726,-3.9294988,23.968573,-2.1579176,0.48987791
696.13,-0.21980492,0.63918913,-9.4008912,6.5891846,5.7143511,-15.062583,-20.670943,7.2310995,55.980114,142.43568,16.597427,-36.403461,12.318737,18.656077,-3.927322,23.962016,-2.1312064,0.58973901
696.14,-0.25493133,0.49235887,-8.8240859,3.9811637,7.4657013,-12.707644,-20.646658,7.2296953,55.819731,142.55465,16.788565,-36.448127,12.328981,18.633902,-3.91677,23.948881,-2.0736305,0.68845129
696.15,-0.54647871,0.35126424,-8.3200091,1.886979,9.6657489,-10.434546,-20.655247,7.2701933,55.692019,142.67363,16.976832,-36.533568,12.343403,18.605907,-3.8957333,23.928977,-1.9739306,0.71580497
696.16,-0.53488124,0.37755624,-8.2617505,1.6319617,11.736673,-9.4670033,-20.656275,7.3498946,55.56977,142.79327,17.163854,-36.632305,12.358368,18.577032,-3.87151,23.907581,-1.8345386,0.71681788
696.17,-0.45090532,0.73043883,-8.5603105,2.2318905,13.306346,-9.6665505,-20.656109,7.4391491,55.441045,142.91351,17.350968,-36.711839,12.368291,18.547477,-3.848368,23.883063,-1.6840283,0.73095424
696.18,-0.33335475,0.93663393,-9.165856,3.5564866,13.457786,-10.026209,-20.64864,7.5273871,55.2899,143.03493,17.541021,-36.788,12.378827,18.527469,-3.8366374,23.871235,-1.5414362,0.79153007
696.19,-0.25150469,1.0263772,-9.8891094,5.7953339,12.275026,-10.049587,-20.637314,7.6335535,55.139186,143.15641,17.730915,-36.913614,12.386407,18.501973,-3.8298347,23.855016,-1.3958383,0.84824878
696.2,-0.2795159,0.89559506,-10.432817,8.0137595,10.309416,-9.4282755,-20.581194,7.7057251,55.008261,143.27696,17.920736,-37.031708,12.403447,18.471062,-3.8297714,23.840701,-1.3128184,0.88051745
696.21,-0.21365953,0.71612318,-10.785252,9.5965144,8.2193188,-8.5947268,-20.491768,7.7475386,54.889337,143.39733,18.110181,-37.127793,12.415739,18.440604,-3.8364062,23.825176,-1.2749363,0.92779634
696.22,-0.24943737,0.56024653,-10.703112,10.219641,7.297862,-7.2606307,-20.404652,7.7874363,54.786679,143.5199,18.298125,-37.213552,12.433188,18.410165,-3.8407817,23.812176,-1.243699,0.94451802
696.23,-0.27743759,0.19127229,-10.445626,10.946591,7.6122914,-5.5915679,-20.31998,7.8271822,54.69852,143.64307,18.485449,-37.255331,12.452271,18.377302,-3.8455946,23.797973,-1.2215947,0.94161165
696.24,-0.43039872,0.04841284,-10.382905,12.37372,8.4781269,-4.1534939,-20.219999,7.8812335,54.631875,143.76703,18.671394,-37.293901,12.469143,18.343493,-3.8398499,23.779214,-1.1711085,0.90537966
696.25,-0.40465967,0.050351801,-10.595161,13.232534,9.4712523,-2.9471882,-20.090972,7.9604515,54.568832,143.89113,18.856283,-37.398012,12.491889,18.308247,-3.8332321,23.762744,-1.1012467,0.84039823
696.26,-0.37793805,0.19101209,-11.167591,12.892869,10.438412,-1.7294523,-19.947751,8.0468596,54.507135,144.01409,19.041028,-37.479733,12.506897,18.270174,-3.8371401,23.740891,-1.0467468,0.79350296
696.27,-0.49756323,0.32598186,-11.670711,11.973587,11.434194,0.10027808,-19.836582,8.1384881,54.457029,144.13612,19.225656,-37.48243,12.528042,18.237293,-3.8473918,23.726422,-1.0034506,0.73640072
696.28,-0.64457647,0.27564587,-11.845315,11.967383,12.45521,1.9511771,-19.73918,8.2531615,54.425829,144.25771,19.4101,-37.478217,12.544998,18.198179,-3.8626909,23.704674,-0.95863409,0.65992487
696.29,-0.95783174,0.47509779,-11.838493,13.315154,13.368126,2.9746412,-19.623541,8.3966046,54.418374,144.38234,19.594369,-37.528627,12.56161,18.154198,-3.8754032,23.679152,-0.89268051,0.54258044
696.3,-0.95969408,0.5959275,-11.974276,13.176638,13.960752,3.8873676,-19.472933,8.5368067,54.407044,144.50583,19.77857,-37.57912,12.57696,18.111386,-3.8845044,23.653376,-0.81801629,0.43283307
696.31,-0.88794075,0.59692931,-12.388617,11.214474,14.561242,4.9268908,-19.316364,8.6762331,54.381415,144.62865,19.963246,-37.612386,12.580006,18.07235,-3.8986278,23.625428,-0.74078299,0.37185614
696.32,-0.86528538,0.48868512,-12.917023,8.4319641,15.503395,6.0050969,-19.24136,8.8362459,54.394255,144.75349,20.146621,-37.6595,12.597931,18.031377,-3.9215297,23.606123,-0.68498242,0.24136007
696.33,-0.90836013,0.30407387,-13.487242,5.811241,15.681656,6.2743774,-19.179716,9.0152908,54.415958,144.87935,20.329094,-37.760954,12.617007,17.982778,-3.9473976,23.582831,-0.62746909,0.084825101
696.34,-1.1660952,0.48610332,-13.963751,3.9932534,14.812291,4.9166306,-19.115215,9.198043,54.41794,145.00529,20.512112,-37.843927,12.632645,17.933825,-3.9734979,23.558743,-0.55815397,-0.046510854
696.35,-1.2005772,0.81342268,-14.38049,1.9395073,13.38293,2.6759624,-19.082892,9.3390153,54.408615,145.13081,20.694603,-37.894884,12.646366,17.882193,-4.0090398,23.532248,-0.54737332,-0.14436502
696.36,-1.1645425,1.0520935,-14.73749,0.27626696,12.361105,0.88868519,-19.091983,9.4546992,54.387135,145.25607,20.876326,-37.941895,12.654671,17.828199,-4.0499533,23.501122,-0.56898359,-0.21044226
696.37,-0.97389306,1.0946671,-14.975147,-0.82932393,12.349998,0.35291347,-19.109722,9.5630567,54.337423,145.37983,21.057819,-38.0148,12.665845,17.781404,-4.0926021,23.477398,-0.58776483,-0.24136931
696.38,-0.79118538,1.0311026,-15.233616,-1.1289871,12.145493,-0.04756746,-19.114815,9.6845875,54.291038,145.50409,21.239068,-38.129605,12.676653,17.730772,-4.1356856,23.452006,-0.59891051,-0.28431249
696.39,-0.68473709,0.89281663,-15.432781,-1.1414385,11.716039,-0.84353738,-19.144207,9.8133187,54.268547,145.63043,21.419173,-38.268678,12.694249,17.681184,-4.1830712,23.43312,-0.62400285,-0.3637612
696.4,-0.71101843,0.76621936,-15.524217,-0.5316252,11.519395,-1.8548808,-19.165455,9.902567,54.217504,145.75501,21.59894,-38.3302,12.708401,17.628811,-4.2337773,23.408292,-0.68574559,-0.3944546
696.41,-0.7470266,0.74893869,-15.468074,1.3877508,11.826056,-2.8028449,-19.181653,9.9936174,54.138803,145.87852,21.778535,-38.323687,12.727354,17.578932,-4.2801867,23.38619,-0.72699172,-0.40720147
696.42,-0.68848153,0.78933392,-15.469941,3.3399281,12.406254,-3.0392643,-19.17109,10.108062,54.075099,146.0037,21.957291,-38.372293,12.741864,17.521639,-4.3253994,23.356584,-0.75325211,-0.44647206
696.43,-0.80076695,0.87829838,-15.415552,4.9319928,12.448972,-3.1089739,-19.129589,10.223109,54.008241,146.13041,22.135334,-38.451109,12.757633,17.472403,-4.3719754,23.334691,-0.77502008,-0.47539941
696.44,-0.77337903,0.87987145,-15.076322,5.8595861,11.915556,-3.1529667,-19.086381,10.323951,53.930254,146.25717,22.312747,-38.507317,12.772219,17.421828,-4.4236399,23.311567,-0.81920196,-0.48431957
696.45,-0.92234641,0.86330239,-14.535946,6.579051,11.388713,-2.4798655,-19.040679,10.42287,53.854768,146.38377,22.489467,-38.553063,12.782289,17.366308,-4.4644909,23.279646,-0.84423235,-0.50111463
696.46,-0.84538584,0.95611897,-13.831299,7.8975493,11.442599,-1.7529569,-18.985132,10.519664,53.802405,146.50948,22.665477,-38.59034,12.796166,17.318094,-4.4968822,23.253317,-0.85503555,-0.54292366
696.47,-0.66420009,1.1768771,-13.381419,9.3002362,11.91545,-1.5922306,-18.906855,10.623067,53.764207,146.63476,22.840922,-38.704255,12.8028,17.269494,-4.5263037,23.22272,-0.8547677,-0.58988833
696.48,-0.68778667,1.2250608,-13.074271,9.8463662,12.685688,-1.7689239,-18.808301,10.736389,53.702112,146.75932,23.015952,-38.892122,12.810421,17.231949,-4.5529777,23.201846,-0.82159885,-0.60825195
696.49,-0.63943537,0.9473877,-12.777586,9.4995811,13.381521,-1.5517043,-18.714508,10.852468,53.632015,146.88432,23.19054,-39.080495,12.814817,17.190906,-4.5808466,23.17708,-0.78795585,-0.61779576
